key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_chp_combined_cycle_gas_power_fuelmix,38.59233978273994,112.96969999999999,79.57449999999999,4946.89478155706,115043478.26,1095652.17,328.7,0.04,30.0,4439797002.798176
industry_chp_engine_gas_power_fuelmix,38.51572560328461,1.032,1.128,20.419340801838345,600000.0,0.0,8.0,0.04,20.0,23109435.361970764
industry_chp_turbine_gas_power_fuelmix,24.748422690855374,31.968000000000004,41.44,0.0,38250000.0,315000.0,157.5,0.04,25.0,946627167.9252181
industry_chp_ultra_supercritical_coal,0.0012810011796807943,600.0,225.0,7402.499999999516,840000000.0,25600000.0,2844.44,0.04,40.0,1076040.9909318672
industry_chp_wood_pellets,0.0,115.7658,297.322,0.0,617750000.0,5206750.0,194.15,0.04,25.0,0.0
industry_heat_backup_burner_network_gas,18.941713855282565,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,113650283.13169539
industry_heat_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_heat_burner_crude_oil,7.303277088681056,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,43819662.532086335
industry_heat_burner_lignite,0.0,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.04,15.0,0.0
industry_heat_well_geothermal,0.0,0.0,30.0,7000.0,75270000.0,3210000.0,228.0,0.04,30.0,0.0
industry_other_food_burner_coal,1.3121613881278547,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,26330705.18843233
industry_other_food_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_other_food_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_other_food_burner_network_gas,62.11439070767519,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,372686344.24605113
industry_other_food_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_other_food_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_other_food_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_other_food_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_other_metals_burner_network_gas,2.578390132420092,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,15470340.794520551
industry_other_paper_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_other_paper_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_other_paper_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_other_paper_burner_network_gas,13.988141871314728,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,83928851.22788836
industry_other_paper_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_other_paper_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_other_paper_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_other_paper_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
